Frequenza (Hz),Re(S21),Im(S21)
4061771771.772,-0.801,-0.404
4061881881.882,-0.803,-0.401
4061991991.992,-0.803,-0.400
4062102102.102,-0.803,-0.398
4062212212.212,-0.804,-0.395
4062322322.322,-0.805,-0.394
4062432432.432,-0.805,-0.392
4062542542.543,-0.809,-0.391
4062652652.653,-0.807,-0.388
4062762762.763,-0.812,-0.387
4062872872.873,-0.812,-0.386
4062982982.983,-0.810,-0.383
4063093093.093,-0.812,-0.381
4063203203.203,-0.813,-0.379
4063313313.313,-0.813,-0.377
4063423423.423,-0.814,-0.376
4063533533.534,-0.813,-0.373
4063643643.644,-0.818,-0.372
4063753753.754,-0.818,-0.372
4063863863.864,-0.820,-0.369
4063973973.974,-0.819,-0.366
4064084084.084,-0.820,-0.365
4064194194.194,-0.820,-0.362
4064304304.304,-0.822,-0.362
4064414414.414,-0.823,-0.359
4064524524.525,-0.824,-0.357
4064634634.635,-0.825,-0.355
4064744744.745,-0.824,-0.354
4064854854.855,-0.824,-0.352
4064964964.965,-0.827,-0.349
4065075075.075,-0.828,-0.348
4065185185.185,-0.828,-0.347
4065295295.295,-0.829,-0.345
4065405405.405,-0.831,-0.342
4065515515.516,-0.832,-0.339
4065625625.626,-0.833,-0.339
4065735735.736,-0.830,-0.338
4065845845.846,-0.833,-0.335
4065955955.956,-0.835,-0.333
4066066066.066,-0.833,-0.331
4066176176.176,-0.836,-0.329
4066286286.286,-0.838,-0.330
4066396396.396,-0.837,-0.325
4066506506.507,-0.840,-0.325
4066616616.617,-0.839,-0.321
4066726726.727,-0.838,-0.319
4066836836.837,-0.838,-0.318
4066946946.947,-0.841,-0.316
4067057057.057,-0.840,-0.313
4067167167.167,-0.841,-0.311
4067277277.277,-0.844,-0.310
4067387387.387,-0.844,-0.308
4067497497.497,-0.843,-0.308
4067607607.608,-0.847,-0.304
4067717717.718,-0.844,-0.302
4067827827.828,-0.846,-0.300
4067937937.938,-0.847,-0.300
4068048048.048,-0.848,-0.297
4068158158.158,-0.849,-0.295
4068268268.268,-0.848,-0.293
4068378378.378,-0.851,-0.292
4068488488.488,-0.851,-0.288
4068598598.599,-0.853,-0.286
4068708708.709,-0.851,-0.287
4068818818.819,-0.852,-0.283
4068928928.929,-0.852,-0.281
4069039039.039,-0.854,-0.280
4069149149.149,-0.856,-0.278
4069259259.259,-0.855,-0.276
4069369369.369,-0.856,-0.274
4069479479.479,-0.857,-0.271
4069589589.590,-0.857,-0.270
4069699699.700,-0.859,-0.269
4069809809.810,-0.858,-0.264
4069919919.920,-0.860,-0.264
4070030030.030,-0.860,-0.262
4070140140.140,-0.861,-0.261
4070250250.250,-0.860,-0.258
4070360360.360,-0.862,-0.255
4070470470.470,-0.860,-0.253
4070580580.581,-0.863,-0.252
4070690690.691,-0.863,-0.250
4070800800.801,-0.861,-0.249
4070910910.911,-0.866,-0.245
4071021021.021,-0.864,-0.244
4071131131.131,-0.865,-0.243
4071241241.241,-0.866,-0.241
4071351351.351,-0.867,-0.238
4071461461.461,-0.866,-0.236
4071571571.572,-0.866,-0.234
4071681681.682,-0.869,-0.233
4071791791.792,-0.870,-0.231
4071901901.902,-0.870,-0.230
4072012012.012,-0.870,-0.228
4072122122.122,-0.871,-0.224
4072232232.232,-0.871,-0.223
4072342342.342,-0.873,-0.221
4072452452.452,-0.871,-0.219
4072562562.563,-0.873,-0.216
4072672672.673,-0.873,-0.214
4072782782.783,-0.873,-0.211
4072892892.893,-0.875,-0.210
4073003003.003,-0.874,-0.208
4073113113.113,-0.876,-0.207
4073223223.223,-0.876,-0.204
4073333333.333,-0.877,-0.202
4073443443.443,-0.878,-0.202
4073553553.554,-0.875,-0.199
4073663663.664,-0.876,-0.197
4073773773.774,-0.878,-0.196
4073883883.884,-0.879,-0.193
4073993993.994,-0.878,-0.191
4074104104.104,-0.879,-0.189
4074214214.214,-0.879,-0.187
4074324324.324,-0.880,-0.184
4074434434.434,-0.879,-0.183
4074544544.545,-0.881,-0.181
4074654654.655,-0.882,-0.179
4074764764.765,-0.881,-0.177
4074874874.875,-0.882,-0.173
4074984984.985,-0.885,-0.173
4075095095.095,-0.884,-0.171
4075205205.205,-0.884,-0.168
4075315315.315,-0.885,-0.165
4075425425.425,-0.883,-0.166
4075535535.536,-0.885,-0.163
4075645645.646,-0.886,-0.160
4075755755.756,-0.886,-0.159
4075865865.866,-0.884,-0.158
4075975975.976,-0.886,-0.157
4076086086.086,-0.888,-0.151
4076196196.196,-0.888,-0.152
4076306306.306,-0.887,-0.149
4076416416.416,-0.888,-0.147
4076526526.527,-0.889,-0.144
4076636636.637,-0.887,-0.142
4076746746.747,-0.889,-0.140
4076856856.857,-0.887,-0.137
4076966966.967,-0.889,-0.136
4077077077.077,-0.889,-0.134
4077187187.187,-0.891,-0.133
4077297297.297,-0.891,-0.130
4077407407.407,-0.892,-0.129
4077517517.518,-0.889,-0.125
4077627627.628,-0.892,-0.124
4077737737.738,-0.890,-0.120
4077847847.848,-0.892,-0.121
4077957957.958,-0.891,-0.117
4078068068.068,-0.893,-0.116
4078178178.178,-0.894,-0.113
4078288288.288,-0.893,-0.113
4078398398.398,-0.894,-0.110
4078508508.509,-0.894,-0.109
4078618618.619,-0.895,-0.106
4078728728.729,-0.896,-0.103
4078838838.839,-0.894,-0.102
4078948948.949,-0.894,-0.100
4079059059.059,-0.896,-0.100
4079169169.169,-0.895,-0.096
4079279279.279,-0.895,-0.093
4079389389.389,-0.896,-0.094
4079499499.499,-0.895,-0.090
4079609609.610,-0.896,-0.089
4079719719.720,-0.896,-0.085
4079829829.830,-0.897,-0.084
4079939939.940,-0.898,-0.082
4080050050.050,-0.897,-0.080
4080160160.160,-0.897,-0.078
4080270270.270,-0.898,-0.075
4080380380.380,-0.898,-0.073
4080490490.490,-0.899,-0.072
4080600600.601,-0.899,-0.068
4080710710.711,-0.899,-0.068
4080820820.821,-0.897,-0.067
4080930930.931,-0.900,-0.063
4081041041.041,-0.899,-0.063
4081151151.151,-0.898,-0.058
4081261261.261,-0.899,-0.056
4081371371.371,-0.899,-0.055
4081481481.481,-0.899,-0.054
4081591591.592,-0.898,-0.051
4081701701.702,-0.899,-0.047
4081811811.812,-0.900,-0.046
4081921921.922,-0.899,-0.044
4082032032.032,-0.899,-0.044
4082142142.142,-0.900,-0.040
4082252252.252,-0.901,-0.039
4082362362.362,-0.901,-0.036
4082472472.472,-0.901,-0.034
4082582582.583,-0.900,-0.033
4082692692.693,-0.900,-0.031
4082802802.803,-0.900,-0.028
4082912912.913,-0.900,-0.026
4083023023.023,-0.899,-0.023
4083133133.133,-0.901,-0.022
4083243243.243,-0.901,-0.019
4083353353.353,-0.901,-0.018
4083463463.463,-0.901,-0.016
4083573573.574,-0.901,-0.012
4083683683.684,-0.903,-0.012
4083793793.794,-0.901,-0.010
4083903903.904,-0.900,-0.006
4084014014.014,-0.902,-0.007
4084124124.124,-0.900,-0.003
4084234234.234,-0.902,-0.002
4084344344.344,-0.901,0.001
4084454454.454,-0.901,0.003
4084564564.565,-0.900,0.006
4084674674.675,-0.902,0.007
4084784784.785,-0.900,0.009
4084894894.895,-0.903,0.013
4085005005.005,-0.902,0.014
4085115115.115,-0.902,0.015
4085225225.225,-0.902,0.018
4085335335.335,-0.902,0.020
4085445445.445,-0.901,0.021
4085555555.556,-0.900,0.023
4085665665.666,-0.901,0.026
4085775775.776,-0.903,0.027
4085885885.886,-0.900,0.029
4085995995.996,-0.900,0.031
4086106106.106,-0.901,0.034
4086216216.216,-0.900,0.036
4086326326.326,-0.901,0.037
4086436436.436,-0.900,0.040
4086546546.547,-0.901,0.042
4086656656.657,-0.902,0.044
4086766766.767,-0.900,0.047
4086876876.877,-0.901,0.048
4086986986.987,-0.902,0.050
4087097097.097,-0.901,0.052
4087207207.207,-0.901,0.054
4087317317.317,-0.902,0.056
4087427427.427,-0.900,0.058
4087537537.538,-0.899,0.060
4087647647.648,-0.900,0.063
4087757757.758,-0.900,0.065
4087867867.868,-0.900,0.066
4087977977.978,-0.901,0.069
4088088088.088,-0.900,0.071
4088198198.198,-0.899,0.074
