C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
6.98,-0.370022
6.982,-0.369995
6.984,-0.369967
6.986,-0.36994
6.988,-0.369912
6.99,-0.369884
6.992,-0.369856
6.994,-0.369828
6.996,-0.3698
6.998,-0.369772
7,-0.369743
7.002,-0.369715
7.004,-0.369686
7.006,-0.369657
7.008,-0.369628
7.01,-0.369599
7.012,-0.369569
7.014,-0.36954
7.016,-0.36951
7.018,-0.369481
7.02,-0.369451
7.022,-0.369421
7.024,-0.36939
7.026,-0.36936
7.028,-0.36933
7.03,-0.369299
7.032,-0.369268
7.034,-0.369238
7.036,-0.369207
7.038,-0.369175
7.04,-0.369144
7.042,-0.369113
7.044,-0.369081
7.046,-0.36905
7.048,-0.369018
7.05,-0.368986
7.052,-0.368954
7.054,-0.368922
7.056,-0.368889
7.058,-0.368857
7.06,-0.368824
7.062,-0.368791
7.064,-0.368758
7.066,-0.368725
7.068,-0.368692
7.07,-0.368659
7.072,-0.368625
7.074,-0.368592
7.076,-0.368558
7.078,-0.368524
7.08,-0.36849
7.082,-0.368456
7.084,-0.368422
7.086,-0.368387
7.088,-0.368353
7.09,-0.368318
7.092,-0.368283
7.094,-0.368248
7.096,-0.368213
7.098,-0.368178
7.1,-0.368143
7.102,-0.368107
7.104,-0.368072
7.106,-0.368036
7.108,-0.368
7.11,-0.367964
7.112,-0.367928
7.114,-0.367891
7.116,-0.367855
7.118,-0.367818
7.12,-0.367782
7.122,-0.367745
7.124,-0.367708
7.126,-0.367671
7.128,-0.367634
7.13,-0.367596
7.132,-0.367559
7.134,-0.367521
7.136,-0.367483
7.138,-0.367445
7.14,-0.367407
7.142,-0.367369
7.144,-0.367331
7.146,-0.367293
7.148,-0.367254
7.15,-0.367215
7.152,-0.367177
