C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
6.135,-0.026569
6.1375,-0.0265822
6.14,-0.0265954
6.1425,-0.0266086
6.145,-0.0266219
6.1475,-0.0266351
6.15,-0.0266483
6.1525,-0.0266615
6.155,-0.0266748
6.1575,-0.026688
6.16,-0.0267012
6.1625,-0.0267145
6.165,-0.0267277
6.1675,-0.0267409
6.17,-0.0267542
6.1725,-0.0267674
6.175,-0.0267807
6.1775,-0.0267939
6.18,-0.0268072
6.1825,-0.0268204
6.185,-0.0268337
6.1875,-0.0268469
6.19,-0.0268602
6.1925,-0.0268734
6.195,-0.0268867
6.1975,-0.0268999
6.2,-0.0269132
6.2025,-0.0269261
6.205,-0.0269398
6.2075,-0.026953
6.21,-0.0269663
6.2125,-0.0269796
6.215,-0.0269929
6.2175,-0.0270061
6.22,-0.0270194
6.2225,-0.0270327
6.225,-0.027046
6.2275,-0.0270593
6.23,-0.0270726
6.2325,-0.0270859
6.235,-0.0270992
6.2375,-0.0271125
6.24,-0.0271258
6.2425,-0.0271391
6.245,-0.0271524
6.2475,-0.0271658
6.25,-0.0271791
6.2525,-0.0271924
6.255,-0.0272057
6.2575,-0.0272191
6.26,-0.0272324
6.2625,-0.0272457
6.265,-0.0272591
6.2675,-0.0272724
6.27,-0.0272858
6.2725,-0.0272991
6.275,-0.0273125
6.2775,-0.0273258
6.28,-0.0273392
6.2825,-0.0273526
6.285,-0.0273659
6.2875,-0.0273793
6.29,-0.0273927
6.2925,-0.027406
6.295,-0.0274194
6.2975,-0.0274328
6.3,-0.0274462
6.3025,-0.0274596
6.305,-0.027473
6.3075,-0.0274864
6.31,-0.0274998
6.3125,-0.0275132
6.315,-0.0275266
6.3175,-0.02754
6.32,-0.0275534
6.3225,-0.0275669
6.325,-0.0275803
6.3275,-0.0275937
6.33,-0.0276072
6.3325,-0.0276206
6.335,-0.0276341
6.3375,-0.0276475
6.34,-0.027661
6.3425,-0.0276744
6.345,-0.0276879
6.3475,-0.0277013
6.35,-0.0277148
6.3525,-0.0277283
6.355,-0.0277418
6.3575,-0.0277552
6.36,-0.0277687
6.3625,-0.0277822
6.365,-0.0277957
6.3675,-0.0278092
6.37,-0.0278227
6.3725,-0.0278362
6.375,-0.0278497
6.3775,-0.0278632
6.38,-0.0278768
6.3825,-0.0278903
6.385,-0.0279038
6.3875,-0.0279174
6.39,-0.0279309
6.3925,-0.0279445
6.395,-0.027958
6.3975,-0.0279716
6.4,-0.0279851
6.4025,-0.0279987
6.405,-0.0280123
6.4075,-0.0280258
6.41,-0.0280394
6.4125,-0.028053
6.415,-0.0280666
6.4175,-0.0280802
6.42,-0.0280938
6.4225,-0.0281074
6.425,-0.028121
6.4275,-0.0281346
6.43,-0.0281482
6.4325,-0.0281618
6.435,-0.0281755
6.4375,-0.0281891
6.44,-0.0282028
6.4425,-0.0282164
6.445,-0.02823
6.4475,-0.0282437
6.45,-0.0282574
6.4525,-0.028271
6.455,-0.0282847
6.4575,-0.0282984
6.46,-0.0283121
6.4625,-0.0283258
6.465,-0.0283395
6.4675,-0.0283532
6.47,-0.0283669
6.4725,-0.0283806
6.475,-0.0283943
6.4775,-0.028408
6.48,-0.0284217
6.4825,-0.0284355
6.485,-0.0284492
6.4875,-0.028463
6.49,-0.0284767
6.4925,-0.0284905
6.495,-0.0285042
6.4975,-0.028518
6.5,-0.0285318
6.5025,-0.0285456
6.505,-0.0285594
6.5075,-0.0285732
6.51,-0.028587
6.5125,-0.0286008
6.515,-0.0286146
6.5175,-0.0286284
6.52,-0.0286422
6.5225,-0.0286561
6.525,-0.0286699
6.5275,-0.0286837
6.53,-0.0286976
6.5325,-0.0287114
6.535,-0.0287253
6.5375,-0.0287392
6.54,-0.0287531
6.5425,-0.028767
6.545,-0.0287808
6.5475,-0.0287947
6.55,-0.0288086
6.5525,-0.0288226
6.555,-0.0288365
6.5575,-0.0288504
6.56,-0.0288643
6.5625,-0.0288783
6.565,-0.0288922
6.5675,-0.0289062
6.57,-0.0289202
6.5725,-0.0289341
6.575,-0.0289481
6.5775,-0.0289621
6.58,-0.0289761
6.5825,-0.0289901
6.585,-0.0290041
6.5875,-0.0290181
6.59,-0.0290321
6.5925,-0.0290462
6.595,-0.0290602
6.5975,-0.0290743
6.6,-0.0290883
6.6025,-0.0291024
6.605,-0.0291165
6.6075,-0.0291305
6.61,-0.0291446
6.6125,-0.0291587
