C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=13.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
7.79931,-0.704753
7.79973,-0.715841
7.8,-0.723304
7.80013,-0.726943
7.80053,-0.738045
7.80092,-0.749136
7.801,-0.751523
7.8013,-0.760204
7.80167,-0.771235
7.802,-0.781319
7.80203,-0.782218
7.80238,-0.79314
7.80273,-0.803989
7.803,-0.81262
7.80307,-0.814753
7.8034,-0.825421
7.80372,-0.835982
7.804,-0.845291
7.80403,-0.846424
7.80434,-0.856738
7.80464,-0.866912
7.80494,-0.876939
7.805,-0.879116
7.80522,-0.886808
7.8055,-0.896512
7.80578,-0.906042
7.806,-0.913777
7.80605,-0.915391
7.80631,-0.924553
7.80656,-0.933521
7.80681,-0.942291
7.807,-0.948835
7.80706,-0.950857
7.8073,-0.959215
7.80753,-0.967362
7.80776,-0.975294
7.80798,-0.983011
7.808,-0.98372
7.8082,-0.990509
7.80841,-0.997788
7.80862,-1.00485
7.80882,-1.01169
7.809,-1.01771
7.80902,-1.01831
7.80921,-1.02471
7.8094,-1.03089
7.80959,-1.03686
7.80977,-1.04262
7.80994,-1.04817
7.81,-1.04995
7.81012,-1.0535
7.81028,-1.05864
7.81045,-1.06357
7.81061,-1.06831
7.81077,-1.07285
7.81092,-1.0772
7.811,-1.07944
7.81107,-1.08137
7.81122,-1.08536
7.81136,-1.08918
7.8115,-1.09282
7.81164,-1.0963
7.81177,-1.09961
7.8119,-1.10277
7.812,-1.10512
7.81203,-1.10578
7.81215,-1.10864
7.81227,-1.11136
7.81239,-1.11394
7.81251,-1.11639
7.81262,-1.11871
7.81273,-1.12091
7.81284,-1.12299
7.81295,-1.12495
7.813,-1.12588
7.81305,-1.12681
7.81315,-1.12856
7.81325,-1.13021
7.81335,-1.13177
7.81344,-1.13323
7.81354,-1.1346
7.81363,-1.13589
7.81371,-1.1371
7.8138,-1.13822
7.81388,-1.13928
7.81397,-1.14027
7.814,-1.14066
7.81405,-1.14118
7.81412,-1.14204
7.8142,-1.14283
7.81428,-1.14357
7.81435,-1.14425
7.81442,-1.14487
7.81449,-1.14545
7.81456,-1.14598
7.81463,-1.14646
7.81469,-1.14691
7.81475,-1.14731
7.81482,-1.14767
7.81488,-1.148
7.81494,-1.14829
7.81499,-1.14856
7.815,-1.14858
7.81505,-1.14879
7.81511,-1.14899
7.81516,-1.14916
7.81521,-1.14931
7.81527,-1.14944
7.81532,-1.14954
7.81537,-1.14962
7.81541,-1.14968
7.81546,-1.14973
7.81551,-1.14975
7.81555,-1.14976
7.8156,-1.14976
7.81564,-1.14973
7.81568,-1.1497
7.81572,-1.14965
7.81576,-1.1496
7.8158,-1.14953
7.81584,-1.14945
7.81588,-1.14936
7.81591,-1.14926
7.81595,-1.14916
7.81598,-1.14905
