C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
15.9033,-0.688547
15.9033,-0.688399
15.9034,-0.688238
15.9035,-0.688066
15.9036,-0.687881
15.9037,-0.687681
15.9038,-0.687468
15.9039,-0.687239
15.904,-0.686993
15.9041,-0.686731
15.9042,-0.686452
15.9043,-0.686153
15.9044,-0.685835
15.9045,-0.685496
15.9046,-0.685135
15.9047,-0.684751
15.9048,-0.684344
15.9049,-0.683911
15.9051,-0.683452
15.9052,-0.682965
15.9053,-0.682449
15.9054,-0.681903
15.9056,-0.681325
15.9057,-0.680713
15.9058,-0.680067
15.906,-0.679384
15.9061,-0.678663
15.9063,-0.677902
15.9064,-0.677099
15.9066,-0.676253
15.9067,-0.675362
15.9069,-0.674422
15.9071,-0.673434
15.9073,-0.672394
15.9074,-0.6713
15.9076,-0.67015
15.9078,-0.668942
15.908,-0.667674
15.9082,-0.666343
15.9084,-0.664947
15.9086,-0.663483
15.9088,-0.661948
15.909,-0.660341
15.9092,-0.658658
15.9094,-0.656898
15.9096,-0.655056
15.9099,-0.653131
15.9101,-0.65112
15.9104,-0.649021
15.9106,-0.646829
15.9109,-0.644544
15.9111,-0.642161
15.9114,-0.639679
15.9117,-0.637094
15.9119,-0.634405
15.9122,-0.631608
15.9125,-0.628702
15.9128,-0.625683
15.9131,-0.62255
15.9134,-0.6193
15.9137,-0.615932
15.9141,-0.612443
15.9144,-0.608831
15.9147,-0.605096
15.9151,-0.601236
15.9155,-0.597249
15.9158,-0.593135
15.9162,-0.588894
15.9166,-0.584523
15.917,-0.580025
15.9174,-0.575398
15.9178,-0.570643
15.9182,-0.565761
15.9187,-0.560753
15.9191,-0.55562
15.9195,-0.550365
15.92,-0.545128
15.92,-0.544989
15.9205,-0.539495
15.921,-0.533885
15.9215,-0.528164
15.922,-0.522334
15.9225,-0.5164
15.923,-0.510366
15.9236,-0.504236
15.9241,-0.498016
15.9247,-0.491711
15.9253,-0.485327
15.9259,-0.47887
15.9265,-0.472345
15.9271,-0.46576
15.9278,-0.459122
15.9284,-0.452436
15.9291,-0.445711
15.9298,-0.438953
15.9305,-0.432171
15.9312,-0.425371
15.9319,-0.41856
15.9327,-0.411747
15.9335,-0.404939
15.9343,-0.398144
15.9351,-0.391368
15.9359,-0.384619
15.9367,-0.377905
15.9376,-0.371232
15.9385,-0.364607
15.9394,-0.358036
15.94,-0.353819
15.9403,-0.351526
15.9413,-0.345083
15.9423,-0.338712
15.9433,-0.33242
15.9443,-0.326211
15.9453,-0.320089
15.9464,-0.314061
15.9475,-0.308129
15.9486,-0.302297
15.9497,-0.296569
15.9509,-0.290949
15.9521,-0.285438
15.9533,-0.280039
15.9546,-0.274755
15.9559,-0.269586
15.9572,-0.264535
15.9585,-0.259603
15.9599,-0.254791
15.96,-0.254499
15.9613,-0.250098
15.9628,-0.245526
15.9642,-0.241074
15.9658,-0.236742
15.9673,-0.23253
15.9689,-0.228437
15.9705,-0.224462
15.9722,-0.220604
15.9739,-0.216863
15.9756,-0.213236
15.9774,-0.209722
15.9792,-0.20632
15.98,-0.204879
15.9811,-0.203027
15.983,-0.199842
15.9849,-0.196764
15.9869,-0.193789
15.989,-0.190917
15.991,-0.188144
15.9932,-0.18547
15.9954,-0.18289
15.9976,-0.180404
15.9999,-0.17801
16,-0.177924
16.0023,-0.175704
16.0047,-0.173484
16.0071,-0.171349
16.0096,-0.169297
16.0122,-0.167324
16.0149,-0.165429
16.0176,-0.16361
16.02,-0.162059
16.0203,-0.161864
16.0231,-0.16019
16.026,-0.158585
16.029,-0.157047
16.032,-0.155575
16.0351,-0.154167
16.0383,-0.152819
16.04,-0.152135
16.0416,-0.151532
16.0449,-0.150302
16.0483,-0.149129
16.0518,-0.14801
16.0553,-0.146944
16.059,-0.145929
16.06,-0.145657
16.0627,-0.144964
16.0665,-0.144048
16.0704,-0.143178
