Time,Channel A
(us),(V)

-1.07338987,-0.12619403
-1.06938987,-0.12344737
-1.06538987,-0.12359996
-1.06138987,-0.12344737
-1.05738987,-0.12207404
-1.05338987,-0.12131108
-1.04938987,-0.12161626
-1.04538987,-0.12100589
-1.04138987,-0.11886960
-1.03738987,-0.11642811
-1.03338987,-0.11413923
-1.02938987,-0.11062960
-1.02538987,-0.10666219
-1.02138987,-0.10498367
-1.01738987,-0.10620441
-1.01338987,-0.10727256
-1.00938987,-0.10635701
-1.00538987,-0.10345775
-1.00138987,-0.09903257
-0.99738987,-0.09292886
-0.99338987,-0.08743553
-0.98938987,-0.08606219
-0.98538987,-0.08850367
-0.98138987,-0.09186071
-0.97738987,-0.09430219
-0.97338987,-0.09704886
-0.96938987,-0.10040589
-0.96538987,-0.10269479
-0.96138987,-0.10299997
-0.95738987,-0.10177923
-0.95338987,-0.09903257
-0.94938987,-0.09430219
-0.94538987,-0.08911405
-0.94138987,-0.08590961
-0.93738987,-0.08423109
-0.93338987,-0.08239998
-0.92938987,-0.08117923
-0.92538987,-0.08285775
-0.92138987,-0.08789331
-0.91738987,-0.09323405
-0.91338987,-0.09643849
-0.90938987,-0.09674367
-0.90538987,-0.09445479
-0.90138987,-0.08987701
-0.89738987,-0.08499405
-0.89338987,-0.08224738
-0.88938987,-0.08163701
-0.88538987,-0.08102664
-0.88138987,-0.07980590
-0.87738987,-0.07950072
-0.87338987,-0.08011109
-0.86938987,-0.08041627
-0.86538987,-0.07995850
-0.86138987,-0.07995850
-0.85738987,-0.08102664
-0.85338987,-0.08133183
-0.84938987,-0.08026368
-0.84538987,-0.07827998
-0.84138987,-0.07507554
-0.83738987,-0.07080294
-0.83338988,-0.06729332
-0.82938988,-0.06744590
-0.82538988,-0.07171850
-0.82138988,-0.07690664
-0.81738988,-0.07950072
-0.81338988,-0.07858516
-0.80938988,-0.07400738
-0.80538988,-0.06729332
-0.80138988,-0.06118961
-0.79738988,-0.05813776
-0.79338988,-0.05844295
-0.78938988,-0.05935850
-0.78538988,-0.06012146
-0.78138988,-0.06118961
-0.77738988,-0.06302072
-0.77338988,-0.06454664
-0.76938988,-0.06530961
-0.76538988,-0.06622516
-0.76138988,-0.06729332
-0.75738988,-0.06744590
-0.75338988,-0.06683554
-0.74938988,-0.06653035
-0.74538988,-0.06622516
-0.74138988,-0.06530961
-0.73738988,-0.06378368
-0.73338988,-0.06286813
-0.72938988,-0.06256294
-0.72538988,-0.06179998
-0.72138988,-0.06057924
-0.71738988,-0.05996887
-0.71338988,-0.06057924
-0.70938988,-0.06103702
-0.70538988,-0.05966369
-0.70138988,-0.05600147
-0.69738988,-0.04989776
-0.69338988,-0.04257332
-0.68938988,-0.03677480
-0.68538988,-0.03585925
-0.68138988,-0.03997925
-0.67738988,-0.04593036
-0.67338988,-0.05050813
-0.66938988,-0.05310221
-0.66538988,-0.05371258
-0.66138988,-0.05294961
-0.65738988,-0.05157628
-0.65338988,-0.05081332
-0.64938988,-0.05050813
-0.64538988,-0.04959258
-0.64138988,-0.04837184
-0.63738988,-0.04806665
-0.63338988,-0.04852443
-0.62938988,-0.04882962
-0.62538988,-0.04852443
-0.62138988,-0.04867702
-0.61738988,-0.04898221
-0.61338988,-0.04898221
-0.60938988,-0.04837184
-0.60538988,-0.04791406
-0.60138988,-0.04806665
-0.59738988,-0.04776147
-0.59338988,-0.04638813
-0.58938988,-0.04409925
-0.58538988,-0.04104739
-0.58138988,-0.03723258
-0.57738988,-0.03402814
-0.57338988,-0.03311258
-0.56938988,-0.03479110
-0.56538988,-0.03723258
-0.56138988,-0.03845332
-0.55738988,-0.03814813
-0.55338988,-0.03646962
-0.54938988,-0.03387555
-0.54538988,-0.03158666
-0.54138988,-0.03082369
-0.53738988,-0.03173925
-0.53338988,-0.03295999
-0.52938988,-0.03402814
-0.52538988,-0.03524888
-0.52138988,-0.03646962
-0.51738988,-0.03738517
-0.51338988,-0.03845332
-0.50938988,-0.04074221
-0.50538988,-0.04425184
-0.50138988,-0.04760887
-0.49738988,-0.04959258
-0.49338988,-0.05050813
-0.48938988,-0.05035554
-0.48538988,-0.04882962
-0.48138989,-0.04623554
-0.47738989,-0.04272591
-0.47338989,-0.03814813
-0.46938989,-0.03265481
-0.46538989,-0.02838221
-0.46138989,-0.02792444
-0.45738989,-0.03158666
-0.45338989,-0.03662221
-0.44938989,-0.03967406
-0.44538989,-0.03875851
-0.44138989,-0.03418073
-0.43738989,-0.02777184
-0.43338989,-0.02258370
-0.42938989,-0.02105777
-0.42538989,-0.02349925
-0.42138989,-0.02731407
-0.41738989,-0.02975555
-0.41338989,-0.02975555
-0.40938989,-0.02746666
-0.40538989,-0.02395703
-0.40138989,-0.02105777
-0.39738989,-0.02044740
-0.39338989,-0.02197333
-0.38938989,-0.02395703
-0.38538989,-0.02594073
-0.38138989,-0.02807703
-0.37738989,-0.03051851
-0.37338989,-0.03265481
-0.36938989,-0.03402814
-0.36538989,-0.03494369
-0.36138989,-0.03509629
-0.35738989,-0.03448591
-0.35338989,-0.03341777
-0.34938989,-0.03280740
-0.34538989,-0.03250221
-0.34138989,-0.03189184
-0.33738989,-0.03082369
-0.33338989,-0.02914518
-0.32938989,-0.02700888
-0.32538989,-0.02441481
-0.32138989,-0.02288888
-0.31738989,-0.02471999
-0.31338989,-0.03006073
-0.30938989,-0.03646962
-0.30538989,-0.04089480
-0.30138989,-0.04165776
-0.29738989,-0.03891110
-0.29338989,-0.03433332
-0.28938989,-0.02960295
-0.28538989,-0.02594073
-0.28138989,-0.02304148
-0.27738989,-0.02044740
-0.27338989,-0.01876888
-0.26938989,-0.01998962
-0.26538989,-0.02395703
-0.26138989,-0.02899258
-0.25738989,-0.03280740
-0.25338989,-0.03463851
-0.24938989,-0.03433332
-0.24538989,-0.03280740
-0.24138989,-0.03051851
